id,medio,sitioweb,genero_id,cobertura,nativoasociado,pagado_gratuito,asociadoaescrito_id,asociadoaradio_id,asociadoacanaltv_id,asociadoamediodigital_id,inicio,inicioyear,visitaspaginasvistas,visitasunicas,infovisitas,fuentevisitas_id,region_id,ciudad_id,direccion,director_id,gerentegeneral_id,propietario_id,fuentepropiedad_id,telefono,observaciones,anexos,check
54,"El Bulnensino",http://www.elbulnensino.blogspot.com/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,,,0
55,"El Concecuente",http://www.elconcecuente.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
56,"La Discusión",http://www.ladiscusion.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
57,"Medio a Medio",http://www.agenciadenoticias.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
59,Resumen,http://www.resumen.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
60,"Soy Arauco",http://www.soyarauco.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
61,"Soy Chillán",http://www.soychillan.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
62,"Soy Concepción",http://www.soyconcepcion.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
63,"Soy Coronel",http://www.soycoronel.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
64,"Soy San Carlos",http://www.soysancarlos.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
65,"Soy Talcahuano",http://www.soytalcahuano.cl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
66,"Soy Tomé",http://www.soytome.cl/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,,,0
71,"Red Arica",http://redarica.com/,1,Regional,Nativo,NULL,NULL,NULL,NULL,NULL,NULL,2015,NULL,NULL,,NULL,9,NULL,,NULL,NULL,NULL,1,,,,0
